City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
191,Klaksvik,FO,62.2266,-6.589,47.32,89,100,15.46,overcast clouds
192,Dulce Nombre De Culmi,HN,15.1,-85.5333,88.03,52,50,4.97,scattered clouds
193,Purpe,RU,64.4803,76.6897,11.98,91,99,19.44,overcast clouds
194,Tasiilaq,GL,65.6145,-37.6368,26.76,64,18,6.78,few clouds
195,Santa Cruz,BO,-17.8,-63.1667,92.66,65,75,10.36,broken clouds
196,Cochabamba,BO,-17.3895,-66.1568,85.75,19,20,8.05,few clouds
197,Kurmanayevka,RU,52.5093,52.0675,43.38,88,53,11.45,broken clouds
198,Marathon,US,44.9,-89.7668,54.36,78,20,1.01,few clouds
199,Guadalajara,MX,20.6667,-103.3333,72.99,72,90,2.19,overcast clouds
200,Tura,IN,25.5198,90.2201,65.23,66,0,2.39,clear sky
201,Faya,SA,18.3851,42.4509,66.72,36,44,10.47,scattered clouds
202,Nuuk,GL,64.1835,-51.7216,39.81,65,75,28.77,broken clouds
203,Jinan,CN,36.6683,116.9972,62.98,72,66,2.48,broken clouds
204,Coihaique,CL,-45.5752,-72.0662,57.81,30,20,3.44,few clouds
205,Stokmarknes,NO,68.5646,14.9108,45.5,88,100,5.3,light rain
206,Yagodnoye,RU,62.55,149.6667,3.18,94,100,2.93,overcast clouds
207,Mangai,CD,-4.05,19.5333,75.4,75,53,2.68,broken clouds
208,Korla,CN,41.7597,86.1469,54.43,29,100,6.24,overcast clouds
209,Fairbanks,US,64.8378,-147.7164,28.36,86,20,9.22,few clouds
210,Matara,LK,5.9485,80.5353,77.27,91,98,4.56,overcast clouds
211,Dongkan,CN,33.9997,119.8308,58.03,71,0,6.33,light rain
212,Dudinka,RU,69.4058,86.1778,16.21,96,100,5.86,light snow
213,Rio Gallegos,AR,-51.6226,-69.2181,59.05,21,0,16.11,clear sky
214,Hambantota,LK,6.1241,81.1185,79.54,82,96,4.45,overcast clouds
215,La Esperanza,GT,14.8667,-91.5667,60.15,79,85,4.16,overcast clouds
216,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,0,10.36,clear sky
217,Saint-Joseph,RE,-21.3667,55.6167,71.98,79,63,3.13,broken clouds
218,Hobyo,SO,5.3505,48.5268,81.18,69,19,14.65,few clouds
219,Cedar City,US,37.6775,-113.0619,62.4,41,1,0.0,clear sky
220,Sitka,US,57.0531,-135.33,46.29,66,75,16.11,broken clouds
